speed_kmh,iso,distance_m,axis,frame,bew_px,mtf50_cy_px,n_roi
60,100,6.5,V,frame_000165.png,4.045,0.13295,2
60,100,6.5,V,frame_000166.png,3.7,0.1385,2
60,100,6.5,V,frame_000167.png,3.835,0.1373,2
60,100,6.5,V,frame_000168.png,3.88,0.1384,2
60,200,2.5,H,frame_000098.png,4.335000000000001,0.11560000000000001,2
60,200,2.5,H,frame_000099.png,3.895,0.12969999999999998,2
60,200,2.5,H,frame_000100.png,3.715,0.1317,2
60,200,2.5,H,frame_000101.png,3.966666666666667,0.12893333333333334,3
60,200,2.5,H,frame_000151.png,4.07,0.12545,2
60,200,2.5,H,frame_000152.png,3.67,0.13335,2
60,200,2.5,H,frame_000153.png,3.73,0.1335,2
60,200,2.5,V,frame_000098.png,3.9,0.1481,2
60,200,2.5,V,frame_000099.png,3.785,0.1526,2
60,200,2.5,V,frame_000100.png,3.675,0.15355,2
60,200,2.5,V,frame_000101.png,3.615,0.16015000000000001,4
60,200,2.5,V,frame_000151.png,4.08,0.14315,2
60,200,2.5,V,frame_000152.png,3.85,0.1489,2
60,200,2.5,V,frame_000153.png,3.7649999999999997,0.1522,2
60,200,3.5,H,frame_000104.png,5.08,0.10200000000000001,2
60,200,3.5,H,frame_000105.png,4.35,0.12029999999999999,2
60,200,3.5,H,frame_000106.png,3.92,0.13035000000000002,2
60,200,3.5,H,frame_000107.png,3.98,0.12495,2
60,200,3.5,H,frame_000108.png,4.234999999999999,0.12165000000000001,2
60,200,3.5,H,frame_000109.png,4.735,0.10615,2
60,200,3.5,H,frame_000155.png,4.9,0.1085,1
60,200,3.5,H,frame_000156.png,4.2,0.1207,1
60,200,3.5,H,frame_000157.png,3.79,0.1304,1
60,200,3.5,H,frame_000158.png,3.91,0.1394,1
60,200,3.5,H,frame_000159.png,4.3,0.1163,1
60,200,3.5,V,frame_000104.png,4.01,0.14965,2
60,200,3.5,V,frame_000105.png,3.5549999999999997,0.1568,2
60,200,3.5,V,frame_000106.png,3.6399999999999997,0.15375,2
60,200,3.5,V,frame_000107.png,3.715,0.15284999999999999,2
60,200,3.5,V,frame_000108.png,3.8499999999999996,0.15539999999999998,2
60,200,3.5,V,frame_000109.png,3.875,0.15665,2
60,200,3.5,V,frame_000155.png,4.245,0.1371,2
60,200,3.5,V,frame_000156.png,3.9699999999999998,0.1489,2
60,200,3.5,V,frame_000157.png,3.8449999999999998,0.15115,2
60,200,3.5,V,frame_000158.png,3.79,0.1517,2
60,200,3.5,V,frame_000159.png,3.7199999999999998,0.1585,2
60,200,4.5,H,frame_000105.png,4.75,0.1053,2
60,200,4.5,H,frame_000106.png,4.5600000000000005,0.11705,2
60,200,4.5,H,frame_000107.png,4.574999999999999,0.11495,2
60,200,4.5,H,frame_000108.png,4.895,0.1038,2
60,200,4.5,H,frame_000109.png,5.18,0.1021,2
60,200,4.5,H,frame_000110.png,5.555,0.09185,2
60,200,4.5,H,frame_000155.png,5.22,0.1097,1
60,200,4.5,H,frame_000156.png,4.86,0.1109,1
60,200,4.5,H,frame_000157.png,4.32,0.1155,1
60,200,4.5,H,frame_000158.png,4.71,0.1058,1
60,200,4.5,H,frame_000159.png,4.95,0.1034,1
60,200,4.5,H,frame_000160.png,5.44,0.0883,1
60,200,4.5,V,frame_000105.png,3.9699999999999998,0.13974999999999999,2
60,200,4.5,V,frame_000106.png,4.015000000000001,0.1473,2
60,200,4.5,V,frame_000107.png,4.245,0.1285,2
60,200,4.5,V,frame_000108.png,4.41,0.1273,2
60,200,4.5,V,frame_000109.png,4.43,0.12104999999999999,2
60,200,4.5,V,frame_000110.png,4.715,0.1212,2
60,200,4.5,V,frame_000155.png,3.88,0.1321,1
60,200,4.5,V,frame_000156.png,4.01,0.1325,1
60,200,4.5,V,frame_000157.png,4.19,0.1333,1
60,200,4.5,V,frame_000158.png,4.49,0.1292,1
60,200,4.5,V,frame_000159.png,4.61,0.1246,1
60,200,4.5,V,frame_000160.png,5.07,0.1198,1
60,200,5.5,H,frame_000090.png,5.265000000000001,0.09809999999999999,2
60,200,5.5,H,frame_000091.png,4.805,0.10195,2
60,200,5.5,H,frame_000092.png,4.965,0.1036,2
60,200,5.5,H,frame_000093.png,5.045,0.10225000000000001,2
60,200,5.5,H,frame_000094.png,6.01,0.0867,2
60,200,5.5,H,frame_000095.png,6.369999999999999,0.07765,2
60,200,5.5,H,frame_000142.png,5.07,0.1021,2
60,200,5.5,H,frame_000143.png,5.12,0.1026,1
60,200,5.5,H,frame_000144.png,4.8149999999999995,0.11055,2
60,200,5.5,H,frame_000145.png,5.035,0.1013,2
60,200,5.5,H,frame_000146.png,5.484999999999999,0.0936,2
60,200,5.5,H,frame_000147.png,6.24,0.08135,2
60,200,5.5,V,frame_000090.png,4.24,0.12819999999999998,2
60,200,5.5,V,frame_000091.png,4.325,0.12315000000000001,2
60,200,5.5,V,frame_000092.png,4.66,0.12,2
60,200,5.5,V,frame_000093.png,4.75,0.11135,2
60,200,5.5,V,frame_000094.png,4.975,0.10175000000000001,2
60,200,5.5,V,frame_000095.png,5.255,0.10125,2
60,200,5.5,V,frame_000142.png,4.4399999999999995,0.11495,2
60,200,5.5,V,frame_000143.png,4.415,0.13024999999999998,2
60,200,5.5,V,frame_000144.png,4.525,0.1269,2
60,200,5.5,V,frame_000145.png,4.785,0.11295,2
60,200,5.5,V,frame_000146.png,4.865,0.10969999999999999,2
60,200,5.5,V,frame_000147.png,5.154999999999999,0.1064,2
60,200,6.5,H,frame_000107.png,6.01,0.086,2
60,200,6.5,H,frame_000108.png,6.42,0.08,2
60,200,6.5,H,frame_000109.png,6.3,0.0847,2
60,200,6.5,H,frame_000110.png,5.98,0.08675,2
60,200,6.5,H,frame_000111.png,5.4,0.09925,2
60,200,6.5,H,frame_000112.png,5.015000000000001,0.1046,2
60,200,6.5,H,frame_000160.png,6.390000000000001,0.0791,2
60,200,6.5,H,frame_000161.png,6.369999999999999,0.0812,2
60,200,6.5,H,frame_000162.png,6.05,0.0865,2
60,200,6.5,H,frame_000163.png,5.715,0.08735000000000001,2
60,200,6.5,H,frame_000164.png,5.279999999999999,0.1017,2
60,200,6.5,H,frame_000165.png,5.055,0.09784999999999999,2
60,200,6.5,V,frame_000107.png,5.8,0.08975,2
60,200,6.5,V,frame_000108.png,6.145,0.08195,2
60,200,6.5,V,frame_000109.png,6.165,0.0835,2
60,200,6.5,V,frame_000110.png,6.005,0.0877,2
60,200,6.5,V,frame_000111.png,5.43,0.09309999999999999,2
60,200,6.5,V,frame_000112.png,5.045,0.10225000000000001,2
60,200,6.5,V,frame_000160.png,6.47,0.08175,2
60,200,6.5,V,frame_000161.png,6.225,0.07880000000000001,2
60,200,6.5,V,frame_000162.png,6.205,0.08215,2
60,200,6.5,V,frame_000163.png,5.77,0.08965000000000001,2
60,200,6.5,V,frame_000164.png,5.645,0.0948,2
60,200,6.5,V,frame_000165.png,5.27,0.09675,2
60,400,2.5,H,frame_000094.png,6.890000000000001,0.0748,2
60,400,2.5,H,frame_000095.png,5.49,0.08929999999999999,2
60,400,2.5,H,frame_000096.png,4.725,0.1069,2
60,400,2.5,H,frame_000097.png,4.390000000000001,0.11385,2
60,400,2.5,H,frame_000145.png,6.28,0.0792,1
60,400,2.5,H,frame_000146.png,5.21,0.0948,1
60,400,2.5,H,frame_000147.png,4.58,0.1115,1
60,400,2.5,H,frame_000148.png,4.33,0.1141,1
60,400,2.5,V,frame_000094.png,6.46,0.08405,2
60,400,2.5,V,frame_000095.png,5.720000000000001,0.09225,2
60,400,2.5,V,frame_000096.png,5.325,0.09825,2
60,400,2.5,V,frame_000097.png,5.130000000000001,0.10275000000000001,2
60,400,2.5,V,frame_000145.png,6.859999999999999,0.07944999999999999,2
60,400,2.5,V,frame_000146.png,6.1,0.08595,2
60,400,2.5,V,frame_000147.png,5.52,0.0937,4
60,400,2.5,V,frame_000148.png,5.395,0.10215,2
60,400,3.5,H,frame_000093.png,5.14,0.0988,1
60,400,3.5,H,frame_000094.png,4.22,0.1166,1
60,400,3.5,H,frame_000095.png,4.46,0.1133,1
60,400,3.5,H,frame_000096.png,4.94,0.1002,1
60,400,3.5,H,frame_000097.png,5.61,0.0897,1
60,400,3.5,H,frame_000138.png,6.05,0.0881,1
60,400,3.5,H,frame_000139.png,4.72,0.1115,1
60,400,3.5,H,frame_000140.png,4.34,0.1157,1
60,400,3.5,H,frame_000141.png,4.58,0.1083,1
60,400,3.5,H,frame_000142.png,5.08,0.1004,1
60,400,3.5,H,frame_000143.png,5.98,0.0904,1
60,400,3.5,V,frame_000093.png,4.31,0.13385,2
60,400,3.5,V,frame_000094.png,3.965,0.1472,2
60,400,3.5,V,frame_000095.png,3.87,0.1527,2
60,400,3.5,V,frame_000096.png,4.165,0.1525,2
60,400,3.5,V,frame_000097.png,4.699999999999999,0.1328,2
60,400,3.5,V,frame_000140.png,3.9,0.1487,1
60,400,3.5,V,frame_000141.png,4.13,0.1565,1
60,400,3.5,V,frame_000142.png,4.67,0.1397,1
60,400,4.5,H,frame_000116.png,6.99,0.069,1
60,400,4.5,H,frame_000117.png,7.32,0.0697,1
60,400,4.5,H,frame_000118.png,7.22,0.0695,1
60,400,4.5,H,frame_000119.png,7.47,0.0674,1
60,400,4.5,H,frame_000120.png,8.34,0.0607,1
60,400,4.5,H,frame_000121.png,9.16,0.055,1
60,400,4.5,H,frame_000170.png,7.4,0.069,1
60,400,4.5,H,frame_000171.png,7.44,0.0666,1
60,400,4.5,H,frame_000172.png,7.57,0.0668,1
