speed_kmh,iso,distance_m,bew_mean,bew_sd,mtf50_mean,mtf50_sd,n_frames
60,100,2.5,4.23725,0.6877400218972998,0.130555,0.019995753277203807,10
60,100,3.5,4.02025,0.39547930613237864,0.13666499999999998,0.017207671942601956,10
60,100,4.5,4.3637500000000005,0.3776759785012041,0.12417249999999999,0.014769344807831925,10
60,100,5.5,4.713181818181818,0.5715195814971101,0.11191818181818182,0.013678481061720411,11
60,100,6.5,4.1647727272727275,0.4331899321498798,0.12614318181818182,0.014206054170959121,11
60,200,2.5,3.8608333333333333,0.1991024196344021,0.13977738095238096,0.013133222059828708,7
60,200,3.5,4.073409090909091,0.40351546369033886,0.13605227272727272,0.018574640144387897,11
60,200,4.5,4.627083333333333,0.4627068671713618,0.11771875,0.014804132887254096,12
60,200,5.5,5.025625,0.5543196231103654,0.10619166666666667,0.013711702924926914,12
60,200,6.5,5.84,0.4716967522539843,0.08904791666666667,0.007916911990859471,12
60,400,2.5,5.5253125,0.8173544085442168,0.0951875,0.01264449155429615,8
60,400,3.5,4.675263157894737,0.6556855481186816,0.12089210526315788,0.023654376287356633,11
60,400,4.5,7.640588235294117,0.5869968120466594,0.06602941176470589,0.004607299196096662,11
60,400,5.5,4.249423076923077,0.3344198765715845,0.12476153846153847,0.01145717511162596,13
60,400,6.5,4.232291666666667,0.47062857866684094,0.12547291666666668,0.014313341140399378,12
60,800,2.5,3.846875,0.8160205777634123,0.151059375,0.03331501772849597,8
60,800,3.5,4.107777777777778,0.4837604603587771,0.135875,0.018200010100191122,9
60,800,4.5,4.599375,0.4366854217954794,0.11764374999999999,0.014336092431191012,12
60,800,5.5,5.000416666666666,0.5858715482206771,0.10787291666666667,0.012929440446269251,12
60,800,6.5,6.064615384615385,0.4207539021255133,0.08549230769230769,0.007433554900687719,13
60,1600,2.5,4.535,1.036880218846562,0.1545388888888889,0.026606603313261944,9
60,1600,3.5,3.52775,0.6003057883059969,0.17030499999999998,0.03551294389670513,10
60,1600,4.5,4.608409090909091,0.41148218257913266,0.11685454545454546,0.013599141333983003,11
60,1600,5.5,5.115208333333333,0.5575031276314422,0.10531875,0.013848401355705128,12
60,1600,6.5,6.227916666666666,0.5073608540594001,0.08311249999999999,0.007893423927824215,12
80,100,2.5,4.3309375,0.4984784139425356,0.126125,0.021672232618414437,8
80,100,3.5,4.270625,0.422815464081751,0.12924375,0.02138651346838313,8
80,100,4.5,4.7179166666666665,0.5766040605537379,0.11555833333333333,0.01885109803323996,9
80,100,5.5,4.932499999999999,0.6319863374862076,0.10908214285714286,0.01528618792272263,7
80,100,6.5,4.3146875,0.5686313062960916,0.122803125,0.016966009830933524,8
80,200,2.5,4.465625,0.5359940142700601,0.12356249999999999,0.019883154511629527,8
80,200,3.5,4.4140625,0.556133133790822,0.12555312500000002,0.022863241741202557,8
80,200,4.5,4.872,0.6704307334997799,0.11064750000000001,0.019868014992365044,10
80,200,5.5,5.144722222222223,0.6752047014712567,0.10337777777777778,0.014917086750575091,9
80,200,6.5,6.2707500000000005,0.5258158447893893,0.08182500000000001,0.006616198224612716,10
80,400,2.5,5.416944444444444,1.0899138375131379,0.0988138888888889,0.01762905193770278,9
80,400,3.5,4.599,0.6160536850446905,0.12085666666666667,0.02542200865017404,8
80,400,4.5,7.939411764705882,0.6179575287614363,0.06308529411764706,0.004587270590513299,9
80,400,5.5,4.38,0.29373457406304787,0.1193625,0.012215120411468168,8
80,400,6.5,4.44625,0.6027921145248445,0.11851249999999999,0.018533577636279507,8
80,800,2.5,4.142777777777778,0.9695545099232011,0.14111388888888887,0.03766654704561953,9
80,800,3.5,4.43375,0.5215863328650197,0.12299500000000001,0.021289099632391565,10
80,800,4.5,4.748611111111111,0.5160078817100842,0.11263055555555557,0.016270761749484778,9
80,800,5.5,5.14,0.5768517094859315,0.1034275,0.014842962846164902,10
80,800,6.5,6.386111111111111,0.49890042492157544,0.08033333333333333,0.008488331090731695,9
80,1600,2.5,4.762625,1.2418533144479116,0.15451874999999998,0.04135479899202815,10
80,1600,3.5,4.015,1.09378266868505,0.154335,0.04814582044493364,10
80,1600,4.5,4.9315,0.5233246451396365,0.1090225,0.015592723294435843,10
80,1600,5.5,4.9975,0.6014767366290089,0.10481111111111112,0.014709016398070021,9
80,1600,6.5,6.536944444444444,0.5759675718222769,0.07930555555555556,0.008011350199944069,9
