sub_dir,fnm,laplacian_variance,tenengrad,brenner_gradient,fft_blur_score,cpbd,noise_mad,noise_gaussian_diff,snr,rms_contrast,michelson_contrast,colorfulness,saturation,brightness,dynamic_range,entropy,histogram_uniformity,brisque,niqe_simple,piqe_simple,hsmb,weighted_score,quality_grade,dl_dbcnn,dl_arniqa,fr_ssim,fr_psnr,fr_mse,fr_mae,fr_uqi,fr_weighted_score,fr_grade,fr_ms_ssim,illum_lx,iso,shutter_us,speed_kmh
15000lx_0640_500us_00,01.png,65.50609459751124,7521721158,219007765,2013.271593904273,0.01877721150716146,4.447739065974797,1.399548000759549,8.985455804026802,48.75400996550226,0.9662447257383966,34.68569080928911,0.1197123043417671,137.1775783962674,229,7.187106638830706,0.5701378716362847,64.89758828199285,24.3349151533578,43.17166835136698,0.8888,0.3194,D,0.3955,0.5147,,,,,,,,,15000,640,500,0
15000lx_0640_500us_00,02.png,65.65514581755252,7546077090,219845543,2013.1148353065,0.01896540323893229,4.447739065974797,1.400590684678819,8.991282771061694,48.79945666949229,0.9662447257383966,34.72922872460164,0.1196023745734188,137.3975931803385,229,7.186950770311087,0.5701917012532551,64.87858707763233,24.35632674315042,43.14994740351304,0.8889,0.3195,D,0.3954,0.5098,,,,,,,,,15000,640,500,0
15000lx_0640_500us_00,03.png,65.64865254667045,7524772308,219243825,2011.34236929888,0.01907942030164931,4.447739065974797,1.399948967827691,8.988511190516247,48.76153428454577,0.9662447257383966,34.69873611681717,0.1193846409616906,137.2470194498698,229,7.187513430201484,0.5701755947536893,64.88900502295813,24.34171586405763,43.36497817403618,0.8903,0.3195,D,0.3934,0.533,,,,,,,,,15000,640,500,0
15000lx_0640_500us_00,04.png,65.41808273180594,7511953838,218403411,2016.045365846205,0.01897642347547743,4.447739065974797,1.398916456434462,8.98817011645592,48.78770366756729,0.9662447257383966,34.72581266149954,0.1193423451940998,137.3152851528592,229,7.187748192546063,0.5702018737792969,64.89061767600845,24.34961381745832,43.63937232076046,0.8921,0.3194,D,0.3981,0.5257,,,,,,,,,15000,640,500,0
15000lx_0640_500us_00,05.png,65.61154132072053,7523038570,218959370,2016.463124516036,0.01879035101996528,4.447739065974797,1.401906331380208,8.993076533791442,48.79237730691877,0.9661016949152542,34.73089024020896,0.1196368963370396,137.4060342576769,228,7.186191750029923,0.5698509216308594,64.88552240464877,24.35728884243625,44.06048039890189,0.8894,0.3194,D,0.3986,0.5167,,,,,,,,,15000,640,500,0
15000lx_0640_500us_00,06.png,65.41149492668298,7522934984,218059033,2007.769399375081,0.01889419555664062,4.447739065974797,1.398863050672743,9.00259858747775,48.75657826782191,0.9662447257383966,34.71531627688389,0.119099948193253,137.4558249579536,229,7.181431870846244,0.5681029425726997,64.90017787466476,24.36367250618291,43.77503804537192,0.89,0.3193,D,0.4029,0.5214,,,,,,,,,15000,640,500,0
15000lx_0640_500us_00,07.png,65.35691322567283,7499642002,217348216,2016.397561866353,0.01879925198025174,4.447739065974797,1.398277706570096,8.986386965677633,48.79462420521582,0.9662447257383966,34.71601891069255,0.119562969332427,137.3065723843045,229,7.186668893884295,0.56988525390625,64.89032249029181,24.34914126292414,42.72074758286161,0.8911,0.3193,D,0.3969,0.5046,,,,,,,,,15000,640,500,0
15000lx_0640_500us_00,08.png,65.6211785031109,7529522512,219099682,2015.015712879697,0.01928159925672743,4.447739065974797,1.402252621120877,8.992737590985085,48.77052850985929,0.9578059071729957,34.70557475936,0.1192129347059462,137.3391456604004,227,7.185467723353763,0.5693961249457465,64.89228776412843,24.34999081723727,44.51801842664274,0.8872,0.3196,D,0.4013,0.5163,,,,,,,,,15000,640,500,0
15000lx_0640_500us_00,09.png,65.40082163702576,7522912466,218422230,2010.876117948726,0.01912095811631944,4.447739065974797,1.398985544840495,8.998693292132566,48.77649291146046,0.9662447257383966,34.72073292660675,0.1195358708533327,137.4501554701063,229,7.18399490545851,0.5692384507921007,64.89498213439155,24.36317035342615,44.56828551530487,0.8877,0.3194,D,0.394,0.5114,,,,,,,,,15000,640,500,0
15000lx_0640_500us_00,10.png,65.60237924985995,7538834176,219985994,2012.439646181545,0.01910230848524306,4.447739065974797,1.400125291612413,8.992563536144244,48.77153637793874,0.957983193277311,34.71398271935347,0.1191368169514442,137.3392317030165,228,7.186278018833356,0.5695995754665799,64.8886707073502,24.35010583728712,43.05978308909307,0.8871,0.3195,D,0.3973,0.5202,,,,,,,,,15000,640,500,0
