illum_lx,shutter_us,speed_kmh,fr_ssim,fr_psnr,cpbd,brisque,niqe_simple,piqe_simple,dl_dbcnn,dl_arniqa,hsmb
15000,50,0,,,0.016048304239908856,72.52046217082,44.55895922075443,58.36756990348947,0.3463,0.43011999999999995,0.90586
15000,50,10,0.6566232815232518,25.541810661917324,0.015169058905707467,72.67664920073008,45.33793758657808,59.71449727024839,0.3393,0.42593,0.91013
15000,50,30,0.6420675933057514,24.31859321179347,0.014256201850043403,72.75323515019095,45.29779087398318,60.11082873092944,0.33142,0.41913,0.9093
15000,50,50,0.6392110211786995,23.838998171602718,0.01241031222873264,72.7972059832266,45.281376028799016,61.34579496946932,0.31984,0.41357,0.90701
15000,50,70,0.6219667875852837,22.987168045778386,0.010107464260525174,72.85209798891009,45.580922671203645,62.80882120958929,0.30840999999999996,0.4013,0.90804
15000,100,0,,,0.01785091824001736,69.1556810822429,31.88346230660293,50.185221452585616,0.36716000000000004,0.47966,0.8938900000000001
15000,100,10,0.6705005358836157,22.75925261891414,0.017208819919162326,69.33200100084103,32.59152087694379,51.32487926602856,0.35857,0.47336,0.8920899999999999
15000,100,30,0.6590180833750822,22.18327009858135,0.014715152316623261,69.49649660543089,32.112507717185636,53.01244699191742,0.33654,0.44548,0.88728
15000,100,50,0.6401803998644539,20.694452652754435,0.01244413587782118,69.61092677490012,32.33824273178353,56.78382202777677,0.31918,0.42028999999999994,0.8820600000000001
15000,100,70,0.6404038519296247,20.519013699096057,0.009530851576063367,69.72221485121959,32.449425030205624,60.68884554325378,0.3029,0.40214,0.86873
15000,250,0,,,0.018835830688476562,64.71879817572528,23.911683283243033,42.766905868839494,0.38563000000000003,0.51589,0.88717
15000,250,10,0.7063072252612806,20.591853210396955,0.01726565890842014,65.45914809510126,23.90732585043873,45.7624253732881,0.35087999999999997,0.48524,0.87934
15000,250,30,0.6833169929064172,19.299100996004878,0.0117767333984375,65.8619433851429,24.09002784299504,53.90576307155435,0.3167,0.41989,0.8324
15000,250,50,0.6641528997146653,17.484669686923073,0.00981903076171875,66.1107962673607,24.084566838768076,58.98040140256643,0.29779999999999995,0.386,0.76994
15000,250,70,0.6697167688588012,17.34498096232483,0.008844417995876735,66.38998617133473,24.10587587721841,61.11219014560231,0.29346,0.3771,0.7136
15000,500,0,,,0.018978712293836804,64.89077614340673,24.3515941197518,43.60283193078528,0.39733999999999997,0.51738,0.8892599999999999
15000,500,10,0.7710491257594287,21.294139199675723,0.014160622490776912,65.91632837493079,24.32612876739213,49.367922693498244,0.33689,0.43284,0.86507
15000,500,30,0.7443887913884815,19.97884062350915,0.00897640652126736,66.55748704349077,24.491035169918558,60.77247769477058,0.3016,0.35364,0.7070700000000001
15000,500,50,0.7226394889953089,18.077380900151383,0.006839158799913194,66.99467075231684,24.46685368822449,64.577601171055,0.29978,0.34106000000000003,0.6487999999999999
15000,500,70,0.7245111302004239,17.68180179884013,0.006270768907335069,67.39511813863972,24.54268163294838,64.130703057891,0.29589,0.33037,0.6284799999999999
40000,50,0,,,0.017794121636284722,68.69083942506573,31.0167255360575,51.00055906196154,0.38218,0.46275000000000005,0.8880699999999999
40000,50,10,0.6846645408848445,23.31570039375662,0.01728977627224392,68.90031780178256,32.08148699764847,51.32566435096686,0.37427,0.46313000000000004,0.8881499999999999
40000,50,30,0.6577338312229019,21.99132418747817,0.0168837653266059,69.01086999724335,31.86818597475701,52.2654708496231,0.36362,0.45375,0.8859999999999999
40000,50,50,0.6494158087456088,21.08884776812735,0.015376578436957463,69.11255879229586,31.839127984327792,53.65728623155353,0.34824,0.43537,0.88307
40000,50,70,0.6378783472981581,20.147920231694414,0.0132781982421875,69.09769252526782,32.350931167352684,55.36919324581159,0.33529,0.42432,0.8819800000000001
40000,100,0,,,0.018646155463324654,64.447678610997,23.837051194046573,43.202113769296794,0.39138,0.51,0.88102
40000,100,10,0.6763681108686931,20.144087820623316,0.01838934156629774,64.68211888910143,23.80859960030595,44.33024622285547,0.38627,0.50313,0.88063
40000,100,30,0.6719628435906413,19.60076391129877,0.01613396538628472,65.12440174564622,23.899600236158644,46.56679319756573,0.34948999999999997,0.46166999999999997,0.8737
40000,100,50,0.6492290805067424,17.834053204118003,0.013833787706163194,65.26527435987634,23.951056470872782,50.09304404033046,0.33213,0.42888000000000004,0.85961
40000,100,70,0.6388415352778655,17.339106413875555,0.01165525648328993,65.27796014765214,24.006379324957695,54.18198485604029,0.31611,0.41030999999999995,0.8377000000000001
40000,250,0,,,0.018105061848958333,62.559799054351785,35.955568038120674,40.682963723487845,0.40102000000000004,0.5299400000000001,0.86499
40000,250,10,0.7682603393950828,19.910325338030542,0.017055681016710074,63.2938386108199,35.08991022794119,43.44903002793878,0.35221,0.49051,0.85623
40000,250,30,0.7554711609991458,18.88121726409668,0.01161287095811632,63.89067280640097,35.99243054925704,49.80848384861084,0.30297999999999997,0.41841,0.78042
40000,250,50,0.7290817038547885,16.923222168228037,0.010090552435980903,64.24607654729633,36.39405386893939,54.125031197799196,0.28424,0.37604000000000004,0.71504
40000,250,70,0.7195811813628843,16.068008168268154,0.008600997924804687,64.3267709077875,36.50717259982891,57.23282851582669,0.27176,0.35647,0.66745
40000,500,0,,,0.018319320678710938,62.1185238275331,37.789056713171064,39.75778426183414,0.39869,0.55613,0.8625299999999999
40000,500,10,0.7933389557433944,19.797444805575903,0.014418241712782118,63.390823827135684,36.5065684545047,45.891177448655284,0.32096,0.45538,0.82325
40000,500,30,0.7828575678971441,18.85739533007612,0.00976422627766927,64.17262462630161,37.81757770037275,55.20742081703297,0.28034,0.37317999999999996,0.66779
40000,500,50,0.7599731945040812,17.21085760652523,0.007938045925564236,64.69057931211324,37.69240328941289,59.473030135922286,0.27502,0.35435,0.58655
40000,500,70,0.7547233299860185,16.59182726536716,0.007128185696072048,64.93819080125988,37.33393446935808,61.59862618549933,0.27061,0.34504,0.55481
