condition,R1090_H,R1090_V,MTF50_H,MTF50_V,hsmb,cpbd,niqe,niqe_matlab,piqe,brisque,brisque_matlab,dbcnn,arniqa,speed_kmh
low_5.5m_60km_5.5m_ISO1600,5.4437500000000005,4.786666666666666,0.0955625,0.115075,0.7346,0.9111,6.2569,6.0312,14.7374,1.6819,36.7972,0.3531,0.2995,60.0
low_5.5m_60km_5.5m_ISO200,5.3621739130434785,4.699166666666667,0.09656086956521738,0.11557083333333333,0.8459,0.9033,7.925,6.3064,12.6204,11.9654,32.7852,0.3254,0.3055,60.0
low_5.5m_60km_5.5m_ISO400,4.506,4.016538461538461,0.11506999999999998,0.13427307692307694,0.811,0.9359,7.0964,6.0007,10.9263,5.2624,36.5109,0.3435,0.3018,60.0
low_5.5m_60km_5.5m_ISO800,5.3183333333333325,4.673333333333333,0.10005555555555555,0.11589166666666666,0.7588,0.9316,6.7752,6.0818,12.0078,1.8205,39.3161,0.3501,0.2917,60.0
low_5.5m_80km_5.5m_ISO100,5.350714285714285,4.514285714285714,0.09670714285714285,0.12145714285714285,0.8774,0.8889,8.2403,6.4353,11.3654,20.1209,34.0759,0.3156,0.3155,80.0
low_5.5m_80km_5.5m_ISO1600,5.503571428571428,4.524444444444444,0.09204285714285713,0.11750000000000001,0.7199,0.9231,6.5876,6.4018,14.5323,1.9022,37.3064,0.3543,0.3013,80.0
low_5.5m_80km_5.5m_ISO200,5.631666666666666,4.657777777777778,0.0912,0.11555555555555556,0.845,0.883,7.8299,6.1964,13.9138,11.9743,31.6736,0.3259,0.2966,80.0
low_5.5m_80km_5.5m_ISO400,4.628333333333333,4.1468750000000005,0.10845833333333332,0.13008124999999998,0.7928,0.9481,7.3342,6.1342,9.9205,5.0683,37.1342,0.3448,0.3103,80.0
low_5.5m_80km_5.5m_ISO800,5.64,4.6825,0.08950588235294117,0.11632,0.755,0.9351,6.8021,6.1089,10.7731,1.9976,41.0683,0.3472,0.2846,80.0
low_6.5m_60km_6.5m_ISO100,4.521818181818182,3.8077272727272717,0.11427727272727273,0.13800909090909091,0.8958,0.7689,7.7876,6.3612,13.2564,19.4913,31.9585,0.309,0.3168,60.0
low_6.5m_60km_6.5m_ISO1600,6.202916666666666,6.252916666666667,0.0840625,0.08216250000000001,0.7748,0.9025,5.9957,5.8288,14.3629,1.1552,42.3305,0.3512,0.2687,60.0
low_6.5m_60km_6.5m_ISO200,5.832083333333333,5.847916666666667,0.08958333333333335,0.0885125,0.859,0.8471,7.5139,6.087,9.4547,12.8325,30.429,0.3216,0.2787,60.0
low_6.5m_60km_6.5m_ISO400,4.622916666666667,3.841666666666667,0.11295833333333333,0.1379875,0.8666,0.8959,6.3031,5.5987,8.6704,5.2449,34.795,0.3414,0.2969,60.0
low_6.5m_60km_6.5m_ISO800,6.084615384615385,6.044615384615384,0.08478846153846153,0.08619615384615385,0.8058,0.9147,6.2495,5.6741,9.4265,1.8168,37.8173,0.3438,0.2723,60.0
low_6.5m_80km_6.5m_ISO100,4.816875,3.8125,0.10751875,0.1380875,0.9001,0.7326,7.6604,6.2651,13.0244,19.9365,32.1072,0.3089,0.3241,80.0
low_6.5m_80km_6.5m_ISO1600,6.646111111111111,6.427777777777778,0.07825555555555556,0.08035555555555557,0.7648,0.9039,5.9129,5.709,14.7698,1.3276,39.0634,0.3498,0.276,80.0
low_6.5m_80km_6.5m_ISO200,6.434,6.1075,0.08024,0.08341000000000001,0.8617,0.8822,7.6078,6.073,9.97,12.2944,29.9834,0.3169,0.2754,80.0
low_6.5m_80km_6.5m_ISO400,4.983124999999999,3.909375,0.10139999999999999,0.135625,0.8635,0.9017,6.2324,5.5314,8.9213,5.8552,34.2472,0.339,0.2931,80.0
low_6.5m_80km_6.5m_ISO800,6.598888888888889,6.173333333333334,0.07809444444444445,0.08257222222222221,0.7969,0.9116,6.071,5.5435,9.1026,1.8479,37.9494,0.3435,0.2699,80.0
